FOOD_NM,INGREDIENTS,TYPE,Quantity
단호박스프(국제),양파/껍질제거(깐것),국,
루꼴라스파게티/토마토,토마토,밥,
목살스테이크(국제),"사과(부사, 후지)",반찬,
사천마라찜닭,당근,반찬,
숙주부추무침(국제),"마늘/껍질제거(깐것), 꼭지제거",반찬,
참나물전(국제),당근,반찬,
경주빵,경주빵,후식,
그린카레라이스,멥쌀(백미)/GAP,밥,
들깨미역국(추천),디포리,국,
블럭치즈돈카츠,"사과(부사, 후지)",반찬,
흑당버블라떼,우유,후식,
강황블루베리쌀밥(국제),"기능성멥쌀(강황, 울금)",밥,
대합미역국(중등),디포리,국,
청포묵토마토샐러드,레몬/일반,후식,
달래오코노모야끼(국제),마,반찬,
당근사과주스,과채주스(당근농축과즙),후식,
쌀보리밥(국제),멥쌀(백미)/GAP,밥,
육칼국수,"마늘/껍질제거(깐것), 꼭지제거",밥,
참나물들깨가루무침(국제),"마늘/껍질제거(깐것), 꼭지제거",반찬,
돼지고기불고기(국제),배,반찬,
삼치데리야끼구이(국제),양파/껍질제거(깐것),반찬,
삼색계란찜(국제),당근,반찬 ,
오징어브로콜리초장(고),"마늘/껍질제거(깐것), 꼭지제거",반찬,
불낙전골(고),배,국,
북어콩나물국(국제),"마늘/껍질제거(깐것), 꼭지제거",국,
풋고추멸치조림,"마늘/껍질제거(깐것), 꼭지제거",반찬,
꽃두부구이,고추(붉은고추(홍고추)),반찬,
등갈비양념구이,"사과(부사, 후지)",반찬,
망고스틱,아이스망고,후식,
아삭건강비빔밥,멥쌀(현미)/GAP,밥,
근대모시조개국(국제),"마늘/껍질제거(깐것), 꼭지제거",국,
우엉땅콩조림(국제),땅콩,반찬,
먹물고르곤졸라피자,피자(오징어먹물피자),반찬,
검정쌀속청콩밥,멥쌀(백미)/GAP,밥,
우거지된장국(국제),"마늘/껍질제거(깐것), 꼭지제거",국,
파인애플수육,당근,반찬,
오이도라지무침(표준),"도라지/국산, 껍질제거(깐것)",반찬,
해물김치전(국제),고추(붉은고추(홍고추)),반찬,
우리밀로미아스,쿠키(피넛쿠키)/생지,반찬,
메밀국수무침(고),키위,반찬,
쇠고기국밥(밥포함),멥쌀(백미)/GAP,밥,
통곡물잔멸치볶음(국제),"마늘/껍질제거(깐것), 꼭지제거",국,
골뱅이깻잎닭강정,배,반찬,
피치자몽에이드,레몬,후식,
청국장찌개(표준),"마늘/껍질제거(깐것), 꼭지제거",국,
봉추찜닭(고),당근,반찬,
파송송고갈비(국제),레몬,반찬,
미니애플파이(국제),파이(파인애플파이)/생지,후식,
카프레제샐러드(국제1),토마토,후식,
다시마/양배추쌈(고),양배추,반찬,
전복곤드레밥((국제),멥쌀(백미)/GAP,밥,
미역바지락된장국,"마늘/껍질제거(깐것), 꼭지제거",국,
플라워치킨,해바라기유,반찬,
수리취앙금떡,떡(수리취떡),반찬,
과일오미자화채,블루베리/국산,후식,
홍국쌀밥(국제),기능성찹쌀(홍국균),밥,
단배추시래기된장국(국제),"마늘/껍질제거(깐것), 꼭지제거",국,
샐러드파스타,토마토(방울토마토(체리토마토)),반찬,
오리고기버섯불고기,"마늘/껍질제거(깐것), 꼭지제거",반찬,
그린빈야채굴소스볶음(국제),양파/껍질제거(깐것),국,
치즈퐁듀,도넛(치즈도넛),후식,
가지포도&청포도,포도(블랙올림피아),후식,
모듬어묵국(고),"마늘/껍질제거(깐것), 꼭지제거",국,
야채샐러드(자몽레몬소스),자몽,후식,
돈낙새전골(고),배,국,
고등어양념구이(국제),"마늘/껍질제거(깐것), 꼭지제거",반찬,
플라워파이,파이,후식,
어묵육개장(국제),"마늘/껍질제거(깐것), 꼭지제거",국,
야채쌈장샐러드,당근,후식,
갈릭소스수육,당근,반찬,
쫄면콩나물무침,배,반찬,
족발냉채(국제),배,국,
어묵잡채(고),당근,반찬,
고구마파이(참),파이(고구마파이)/생지,후식,
메론(국제2),멜론(머스크멜론)/조각낸것,후식,
모듬쌈/다양케(국제),양배추,반찬,
순두부찌개/돈육(고),"마늘/껍질제거(깐것), 꼭지제거",국,
가지애호박볶음(고),"마늘/껍질제거(깐것), 꼭지제거",반찬,
교촌치킨(국제),"땅콩/간것(가루, 분말)",반찬,
포도(크림슨),포도(크림슨),후식,
삼색소보루비빔밥(국제),멥쌀(백미)/GAP,밥,
참나물무침(추천),"마늘/껍질제거(깐것), 꼭지제거",반찬,
쑥절편,떡(쑥절편)/국산,후식,
콩나물실곤약무침(국제),배,반찬,
갈치구이양념(국내산),파(쪽파)/껍질제거(깐것),반찬,
귤(하우스),감귤(임온주),후식,
바지락살아욱국,"마늘/껍질제거(깐것), 꼭지제거",국,
만두품은달걀말이,깻잎,반찬,
미숫가루(국제),미숫가루,후식,
삼색나물(비름/콩나물/가지),"마늘/껍질제거(깐것), 꼭지제거",반찬,
브로콜리프리타타(국제),토마토(노란대추방울토마토),반찬,
감귤유과,과자(조청함유과자),후식,
닭날개두반장조림(국제),"마늘/껍질제거(깐것), 꼭지제거",반찬,
모듬야채겉절이(잎),당근,반찬,
버섯시금치해물전(국제),양파/껍질제거(깐것),반찬,
화이트슈,아이스슈,후식,
물냉면(국제),배,밥,
찐만두(왕만두),만두(왕만두),반찬,
근대된장국(국제),"마늘/껍질제거(깐것), 꼭지제거",국,
두부김치국(국제),"마늘/껍질제거(깐것), 꼭지제거",국,
연근채소샐러드(흑임자),토마토(대추방울토마토),반찬,
취나물된장무침(중등),"마늘/껍질제거(깐것), 꼭지제거",반찬,
새송이버섯계란전(국제),큰느타리버섯(새송이버섯),반찬,
우리밀밥,멥쌀(백미)/GAP,밥,
감말랭이잔멸치볶음(국제),감(말랭이),국,
참나물부추겉절이(고),"마늘/껍질제거(깐것), 꼭지제거",김치,
국물떡볶이&튀김,당근,반찬,
우리밀수제쿠키,쿠키/생지,후식,24710.0
과일우유화채,블루베리,후식,
기장밥(중등)@,기장,밥,
연두부된장국@,"마늘/껍질제거(깐것), 꼭지제거",국,
목살찹스테이크(중등)@,파인애플(골드파인애플)/비가식부위제거,반찬,
콜드파스타(중등)@,올리브(블랙올리브)/절인것,반찬,
참치단배추조림(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
배추김치(영양),김치(배추김치),김치,
적/청포도@,포도(골덴마스컷),후식,
칼슘업밥(중등)@,기능성기장(칼슘강화),밥,
돼지등뼈감자탕@,"마늘/껍질제거(깐것), 꼭지제거",국,
오리훈제/소스(중등)@,양파/껍질제거(깐것),반찬,
미역줄기볶음(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
해물김치전(중등)@,당근,반찬,
보쌈김치(중등)@,"밤/김치제조용, 껍질제거(깐것)",김치,
토마토황도절임(중등)@,토마토,후식,
하루야채15곡밥(중등)@,멥쌀(백미),밥,
애플크라운파이(중등)@,파이(사과파이)/생지,후식,
해물된장찌개(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
오향장육/순대(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
상추/깻잎/쌈장(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
양파부추초무침(중등)@,양파/껍질제거(깐것),반찬,
건파래볶음밥(중등)@,멥쌀(백미),밥,
꼬지어묵국(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
콩나물맛살무침(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
로제떡볶이(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
김말이튀김(중등_2개)@,해바라기유,반찬,
망고쥬스(망고코코)@,주스(망고주스),후식,
뉴욕식핫도그(중등)@,당근,후식,
수제치킨텐더(중등)@,다채(그린비타민),반찬,
감자튀김/갈릭후라이(중등)@,토마토케첩/파우치포장,반찬,
파인애플(중등)@,파인애플(골드파인애플)/비가식부위제거,후식,
시리얼/우유(중등)@,시리얼(과즙시리얼),후식,
매콤토마토카레라이스/눈꽃치즈(,멥쌀(백미),밥,
타코샐러드(중등)@,레몬,반찬,
간장닭다리구이/100g(중등)@,닭고기(넓적다리)/일반,반찬,
깍두기(영양),김치(깍두기),김치,
요구르트/비피더스사과@,발효유(드링크요구르트)/사과맛,후식,
팥차조밥(중등)@,차조,밥,
쇠고기미역국(중등)@,디포리,국,
얼큰돼지갈비찜/단호박(중등)@,배,반찬,
치커리사과무침/유자고춧(중등)@,"사과(부사, 후지)",후식,
달걀만두(중등)@,당근,반찬,
비지미(물1),마늘/김치제조용,김치,
깍두기(물량1일)@,마늘/김치제조용,김치,
생크림와플(중등)@,분말/디저트용,후식,
순대돼지국밥/양념장(중등)@,기능성멥쌀(쌀눈),밥,
부추겉절이(중등_국밥용)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
소떡소떡/60g(중등)@,"마늘/껍질제거(깐것), 꼭지제거",후식,
비지미(칼),김치(섞박지),김치,
파인애플/방울토마토@,토마토(대추방울토마토),후식,
크림스프/브로콜리(중등)@,당근,국,
스파게티(중등)@,토마토(완숙토마토),밥,
양상추샐러드/키위소스(중등)@,크랜베리/말린것(건조),후식,
치즈떡갈비새우구이_떡갈새(중등,분말(파슬리분말),반찬,
크로와상30g(중등)@,롤빵,후식,
유기농아이스크림(중등)@,아이스크림/우유맛,후식,
콩나물무채국@,"마늘/껍질제거(깐것), 꼭지제거",국,
닭카레볶음(중등)@,당근,반찬,
단배추나물(중등)@,마늘/김치제조용,김치,
목화솜탕수/레몬소스(중등)@,레몬,반찬,
찰옥수수알밥@,멥쌀(백미),밥,
김치찌개/돈육(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
포크미트볼떡조림(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
달걀찜/기본(오븐)@,당근,반찬,
다시마채무침(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
수박(중등),수박,후식,
접어사각김밥(중등)@,멥쌀(백미),밥,
우동/부식(중등)@,무(조선무),밥,
매콤꼬지어묵/동인동(중등)@,무(조선무),반찬,
물국수(중등)@,당근,밥,
미니번햄버거/세트(중등)@,토마토,반찬,
양념김치/국수(중등)@,"깨(참깨)/볶은것, 껍질제거(깐것)",밥,
수제딸기에이드(중등)@,설탕(백설탕),후식,
참치비빔밥(중등)@,멥쌀(백미),밥,
치킨또띠아/라꾸라차(중등)@,양파/껍질제거(깐것),반찬,
죠리퐁미숫가루(중등)@,과자(튀김쌀과자),후식,
찰현미밥(중등)@,멥쌀(백미),밥,
닭다리삼계탕@,밤/껍질제거(깐것),반찬,
만두/비빔채소(중등)@,당근,반찬,
오이고추된장무침(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
계란맛살말이@,당근,반찬,
사과/파인애플@,"사과(부사, 후지)",후식,
팽이버섯된장국(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
토마토치즈샐러(중등)@,토마토,후식,
제육볶음(중등),배,반찬,
지삼선(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
미소된장국@,"마늘/껍질제거(깐것), 꼭지제거",국,
해물우동/매콤(중등)@,"마늘/껍질제거(깐것), 꼭지제거",밥,
돈까스덮밥/80g(중등)@,멥쌀(백미),밥,
단무지@,단무지(반달슬라이스단무지),반찬,
골드키위/반(중등)@,키위(골드키위),후식,
혼합잡곡밥@,멥쌀(백미),밥,
순두부찌개/돈육(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
돈육메추리알장조림@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
참치마요/김구이(중등)@,양파/껍질제거(깐것),반찬,
콩나물매콤무침(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
수제요구르트/블루베리요거트(중,바나나,후식,
눈꽃치즈목살필라프(중등)@,멥쌀(백미),밥,
들깨미역국/새알(중등)@,디포리,국,
구운버섯샐러드/발사믹D(중등)@,토마토(대추방울토마토)/일반,후식,
달걀후라이@,달걀,반찬,
닭꼬지양념구이(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
수제청포도에이드(중등)@,설탕(백설탕),후식,
닭개장(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
실곤약야채무침(중등)@,당근,반찬,
고구마맛탕/츄러스(중등)@,"생강/국산, 껍질제거(깐것)",후식,
새송이너비아니구이/2개(중등)@,큰느타리버섯(새송이버섯),반찬,
요구르트(80ml),발효유(액상요구르트),후식,
근대된장국(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
오절판(중등)@,당근,반찬,
오리고기버섯볶음(떡_중등)@,당근,반찬,
미니소세지페이스트리(중등)@,페이스트리(치즈페이스트리),후식,
돈코츠라멘(중등)@,"마늘/껍질제거(깐것), 꼭지제거",밥,
오이무침/중국식(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
스노우타코야끼_1(중등)@,파슬리/말린것(건조),반찬,
완두콩밥(중등)@,멥쌀(백미),밥,
쇠고기국/뼈(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
모듬묵무침(중등)@,당근,반찬,
닭봉딸기잼구이/3개(중등)@,"사과(부사, 후지)",반찬,
가자미포튀김@,생강/껍질제거(깐것),반찬,
청포도/방울토마토@,토마토(대추방울토마토),후식,
비빔밥(지단)/약고추장(중등)@,멥쌀(백미),밥,
단배추된장국(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
치즈돈까스80g/소스(중)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
열무물김치/영양(중등)@,김치(열무물김치),김치,
수제식혜(중등)@,멥쌀(백미),후식,
물만두국(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
근대나물무침(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
후루룩떡볶이/두끼St(중등)@,당근,반찬,
롱오징어튀김/동강(중등)@,해바라기유,반찬,
고등어포데리소스구이@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
쿨피스/파인(중등)@,유산균음료/파인애플맛(파인맛),후식,
돼지수육/순대(쌈장제외)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
방울어묵피망볶음@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
열대과일망고펀치/에이드(중등)@,"망고/껍질제거(깐것), 조각낸것",후식,
분모자찜닭(중등)@,당근,반찬,
오이/파프리카/쌈장(중등),"마늘/껍질제거(깐것), 꼭지제거",반찬,
두부달걀전(중등)@,달걀,반찬,
아이스망고바(중등)@,아이스망고,후식,
흔들도시락(중등)@,멥쌀(백미),밥,
볶음김치/흔들도시락@,"깨(참깨)/볶은것, 껍질제거(깐것)",김치,
단오수리취떡(중등)@,떡(수리취팥떡),반찬,
수제레몬에이드(중등)@,레몬,후식,
마늘쫑멸치볶음(중등)@,마늘종,반찬,
계란말이/시금치(중등)@,당근,반찬,
연어스테이크/데코/소스@,토마토(방울토마토(체리토마토)),반찬,
열무물김치/물1(중등)@,배/김치제조용,김치,
단호박스프/크루통(중등)@,양파/껍질제거(깐것),국,
양상추황도샐러드/유자소스(중등,크랜베리/말린것(건조),후식,
일미도라지무침(중등)@,"도라지/껍질제거(깐것), 채썬것(세절)",반찬,
매운돈까스(완제_중등)@,양파/껍질제거(깐것),반찬,
자두쥬스/풀(중등)@,"주스(자두주스, 플럼주스)",후식,
캠핑구이/소감돈(중등)@,파인애플,반찬,
냉메밀국수(중등)@,"마늘/껍질제거(깐것), 꼭지제거",밥,
치킨스테이크(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
알감자꼬치/칠리소스(중등),"감자(알감자)/삶은것, 껍질제거(깐것)",반찬,
짬뽕국/당면(중등)@,당근,국,
자장떡볶음(떡/어묵)@,당근,반찬,
모듬탕수/레몬소스(돼/아/버/중등,레몬,반찬,
달걀탕(크래미)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
애호박새송이볶음@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
마파두부(돈육)@,당근,반찬,
수제치킨까스/머스터드(중등)@,생강/껍질제거(깐것),반찬,
삼겹낙지덮밥(중등)@,기능성멥쌀(쌀눈),밥,
황태/북어계란국(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
콩나물무채무침(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
고구마고로케(중등)@,토마토케첩/파우치포장,반찬,
나박김치-1주일전(중등)@,"마늘/껍질제거(깐것), 꼭지제거",김치,
조랭이떡국@,"마늘/껍질제거(깐것), 꼭지제거",국,
브로콜리/오징어/초고추장(중등),"마늘/껍질제거(깐것), 꼭지제거",반찬,
닭갈비/치떡고(중등)@,당근,반찬,
김-1인/조미@,김(구운김)/조미한것,반찬,
과일화채/수박(중등)@,바나나,후식,
목살찹스테이크덮밥(중등)@,멥쌀(백미),밥,
왕교자만두(2개/중등)@,"깨(참깨)/볶은것, 껍질제거(깐것)",반찬,
뻥크림(중등)@,튀밥(튀긴쌀),후식,
오색보리밥(중등)@,멥쌀(백미),밥,
잡채(중등)@,당근,반찬,
햄파슬리전(2개_중등)@,파슬리,반찬,
청포도음료/플리또(중등)@,주스(포도주스),후식,
메추리알간장조림(중등)@,고추(붉은고추(홍고추)),반찬,
참나물배채무침(중등)@,배,반찬,
돼지고기후라이드/청마요소스@,배,반찬,
알타리무김치/1일(중등)@,마늘/김치제조용,김치,
김치치즈밥@,멥쌀(백미),밥,
수제웨지감자/케첩@,감자,반찬,
닭통날개구이/75g(중등)@,닭고기(닭날개)/냉장,반찬,
나박김치(영양/중),김치(나박김치),김치,
트로피컬쥬스/풀(중등)@,혼합주스(오렌지망고주스),후식,
간장계란밥(중등)@,멥쌀(백미),밥,
노각무침(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
언양너비아니/숙주파채(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
제리뽀(중등)@,푸딩,후식,
대만식샌드위치/수제(중등)@,달걀,후식,
수제아이스티/복숭아(중등)@,설탕(백설탕),후식,
찰보리밥(중등)@,멥쌀(백미),밥,
닭곰탕(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
부추연근겉절이(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
코다리고구마강정(중등)@,"땅콩/볶은것, 껍질제거(깐것), 조각낸것",반찬,
건새우아욱국(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
조랭이떡볶이/눈꽃치즈(중등)@,"마늘/껍질제거(깐것), 꼭지제거",반찬,
맛밤쏙함박/소스(중등)@,"사과(부사, 후지)",반찬,
수제요구르트/후르츠링(중등)@,바나나,후식,
스팸마요덮밥(중등)@,멥쌀(백미),밥,
김치콩나물국(중등)@,"마늘/껍질제거(깐것), 꼭지제거",국,
깻잎찜(중등)@,당근,반찬,
닭다리꼬지튀김/소스(중등)@,해바라기유,반찬,
알타리무김치(영양),김치(총각김치),김치,
귤반개(중등_하우스)@,감귤(밀감),후식,
통밀밥(중등)@,멥쌀(백미),밥,
삼치포데리소스구이(중등),"마늘/껍질제거(깐것), 꼭지제거",반찬,
멜론(중등)@,멜론(머스크멜론),후식,
율무밥As,멥쌀(백미),밥,
우거지갈비탕Aas,마늘,국,
참나물무침A,마늘,반찬,
생선버섯탕수s,마늘,반찬,
배추김치As,김치(배추김치),김치,
캐플주스Aas,주스(당근주스),후식,
현미밥As,멥쌀(백미),밥,
대구지리Aas,마늘,반찬,
아몬드우엉조림Aas,땅콩,반찬,
훈제오븐닭구이Aas,해바라기유,반찬,
블루베리Aas,블루베리,후식,
현미밥(흔들도시락)A,멥쌀(백미),밥,
김치볶음(흔들도시락)Aa,마늘,김치,
비엔나멸치볶음(흔들도시락)A,마늘,반찬,
오믈렛(흔들도시락)Aa,당근,밥,
김자반(흔들도시락)A,김자반,반찬,
바나나As,바나나,후식,
요구르트(런)Aas,발효유(드링크요구르트),후식,
잔치국수Aas,당근,밥,
아몬드팬케익Aas,아몬드,후식,
청포도(시들러스)Aas,포도(청포도(시들러스)),후식,
기장수수밥As,기장,밥,
어묵국Aas,마늘,국,
우엉콩조림As,땅콩,반찬,
오이김치As,김치(오이소박이),김치,
새우브로콜리숙회Aas,"사과(부사, 후지)/친환경",반찬,
참외As,참외,후식,
발아흑미밥As,멥쌀(발아흑미),밥,
김치콩나물국Aas,마늘,국,
팽이버섯무침s,레몬,반찬,
수제함박스테이크Aas,배,반찬,
석박지As,김치(섞박지),김치,
오렌지As,오렌지,후식,
보리밥As,멥쌀(백미),밥,
들깨무채국Aas,당근,국,
가자미빵가루튀김Aas,마늘,반찬,
김구이As,김(구운김)/조미한것,반찬,
총각김치As,김치(총각김치),김치,
요구르트(짜요짜요)A,발효유(짜먹는요구르트)/딸기맛,후식,
발아현미밥As,멥쌀(백미),밥,
쇠고기미역국Aas,마늘,국,
시금치나물Aas,당근,반찬,
삼겹살주꾸미볶음s,"사과(부사, 후지)/친환경",반찬,
인절미(콩)As,떡(인절미),후식,
토마토스파게티(이태리)As,토마토,밥,
수제수박주스A,수박,후식,
생크림케익A,조각케이크(생크림조각케이크),후식,
오이피클Aas,피클(오이피클),반찬,
마카로니콘샐러드A,사과,후식,
차조밥As,멥쌀(백미),밥,
닭개장Aas,마늘,반찬,
콩나물무침Aas,마늘,반찬,
브로콜리새우볶음Aas,마늘,반찬,
차수수밥As,멥쌀(백미),밥,
대구탕Aas,마늘,국,
감자닭찜Aas,당근,반찬,
숙주우엉잡채A,마늘,반찬,
토마토카프레제샐러드Aas,토마토,후식,
낙지볶음밥Aas,멥쌀(백미),밥,
콩나물국Aas,마늘,국,
나박김치As,김치(나박김치),김치,
닭꼬치Aas,물엿,반찬,
사과As,"사과(부사, 후지)/친환경",후식,
완두콩밥As,멥쌀(백미),밥,
꽃게탕As,마늘,국,
모듬장조림(돈육)Aas,당근,반찬,
올방개묵김무침A,피망(홍피망),반찬,
열무김치As,김치(열무김치),김치,
황태콩나물무국Aas,마늘,국,
쫄면무침Aas,"사과(부사, 후지)/친환경",반찬,
쇠고기버섯불고기Aas,배,반찬,
스승의날케익A,케이크(치즈쌀케이크),후식,
연두부새우탕Aas,마늘,국,
돼지갈비찜Aas,밤,반찬,
비름나물무침Aas,마늘,반찬,
칠분도미밥As,멥쌀(백미),밥,
애호박된장찌개Aas,마늘,국,
참나물된장무침Aas,마늘,반찬,
두부구이/양념장Aas,당근,반찬,
보쌈김치As,김치(보쌈김치),김치,
골드키위As,키위(골드참다래),후식,
제육덮밥Aas,멥쌀(백미),밥,
미역된장국As,마늘,국,
배As,배,후식,
꿀떡As,떡(꿀떡),후식,
잡곡밥As,멥쌀(백미),밥,
쇠고기무국Aas,마늘,국,
오리주물럭Aas,마늘,반찬,
도라지진미채볶음A,"도라지/껍질제거(깐것), 실채",반찬,
깍두기As,김치(깍두기),김치,
맑은두부동태국Aas,마늘,국,
김치도토리묵무침Aas,마늘,김치,
단호박베이컨볶음as,마늘,반찬,
수박As,수박,후식,
불고기낙지전골Aas,무(조선무),국,
닭갈비Aas,마늘,반찬,
다시마부각Aas,설탕(황설탕),반찬,
적포도(레드글러브)A,포도(레드글로브),후식,
기장밥As,기장,밥,
햄모듬찌개As,마늘,국,
어향소스가지튀김A,마늘,반찬,
훈제오리고기Aas,오리고기/슬라이스,반찬,
베트남쌀국수Aas,레몬,밥,
춘권/짜조(쉬림프롤)Aa,해바라기유,반찬,
백김치s,김치(백김치),김치,
골든파인애플Aas,파인애플/비가식부위제거,반찬,
해산물샐러드Aas,마늘,반찬,
닭곰탕(감자)Aas,마늘,반찬,
쥐포우엉조림Aas,마늘,반찬,
코다리강정(양념치킨)Aas,마늘,반찬,
체리As,체리,반찬,
리치주스A,과채주스(패션후르츠천연과즙),후식,
들깨수제비국Aas,양파,국,
알감자조림Aas,마늘,반찬,
어묵떡잡채Aas,당근,반찬,
돈육카레라이스Aas,멥쌀(백미),밥,
오이맛살냉채A,양파,반찬,
닭강정Aas,땅콩/볶은것,반찬,
강낭콩밥As,멥쌀(백미),밥,
갈비탕Aas,마늘,국,
달걀찜Aas,당근,반찬,
해물칠리소스볶음A,마늘,반찬,
현미수수밥As,멥쌀(백미),밥,
근대된장국Aas,마늘,국,
새우크림까스A,양파,반찬,
맑은감자국Aas,마늘,국,
머위대들깨볶음Aas,마늘,반찬,
생강향고등어데리야키Aas,생강/껍질제거(깐것),반찬,
깻잎김치As,김치(깻잎김치),김치,
할맥보리밥As,멥쌀(백미),밥,
북어달걀국Aas,마늘,국,
폭찹Aas,마늘,반찬,
부추전Aas,당근,반찬,
토마토파인즙As,토마토,후식,
날치알김치볶음밥Aas,멥쌀(백미),밥,
당근케익A,"호두/껍질제거(깐것), 다진것",후식,
육개장Aas,마늘,국,
참나물들깨무침Aas,당근,반찬,
깐풍새우탕수A,마늘,반찬,
과일샐러드(딸기요플레드레싱)Aas,땅콩/볶은것,후식,
동태알탕Aas,마늘,반찬,
애호박새우살볶음Aas,마늘,반찬,
돈육바베큐구이As,파인애플,반찬,
바지락열무된장국Aas,마늘,국,
해파리냉채Aas,배,반찬,
쇠고기청경채볶음Aas,마늘,반찬,
해물탕Aas,마늘,국,
아삭고추무침As,마늘,반찬,
감자전As,감자,반찬,
닭봉구이As,마늘,반찬,
녹두닭죽Aas,밤,반찬,
떡볶이(고추장)Aas,당근,반찬,
핫도그Aas,핫도그,반찬,
두부새우젓국Aas,마늘,국,
양배추쌈Aas,마늘,반찬,
귤As,감귤(임온주),후식,
요구르트(야쿠르트)A,발효유(액상요구르트),후식,
탕평채Aas,당근,반찬,
훈제오리구이와무쌈As,오리고기/슬라이스,반찬,
망고용과샐러드Aas,망고,후식,
콩나물오이냉국as,콩나물,국,
모듬견과류조림A,땅콩/삶은것,후식,
임연수카레구이Aas,생강/껍질제거(깐것),반찬,
자장잡채밥Aas,멥쌀(백미),밥,
팽이미소된장국Aas,마늘,국,
수제깨찰빵Aas,달걀,반찬,
자두As,자두,후식,
버팔로윙As,마늘,반찬,
오절판/무쌈Aas,당근,반찬,
건새우아욱국,"마늘/껍질제거(깐것), 꼭지제거",국,5375.0
파래자반,파래자반,반찬,
낙지비빔밥,멥쌀(백미)/친환경,밥,13192.0
조갯살미역국,"마늘/껍질제거(깐것), 꼭지제거",국,46324.0
수제함박스테이크,배,반찬,
브로콜리땅콩소스무침,"땅콩/볶은것, 껍질제거(깐것), 조각낸것",반찬,
차수수밥(현미),기능성기장(칼슘강화),밥,
가츠오장국,무(조선무)/세척한것,국,
새우또띠아,양파/껍질제거(깐것),반찬,
불고기비빔밥,멥쌀(백미)/친환경,밥,
조각케이크,조각케이크(초코조각케이크),후식,
오리주물럭,당근,반찬,
데리야끼소스(연어오븐구이),배,반찬,
연어오븐구이,"연어살/구이용, 껍질있는것(안깐것)",반찬,
깨순나물무침,당근,반찬,
수제탕수육,"마늘/껍질제거(깐것), 꼭지제거",반찬,
저염쌈장,"마늘/껍질제거(깐것), 꼭지제거",반찬,
보리밥(현미),기능성기장(칼슘강화),밥,
달걀후라이,달걀,반찬,
훈제오리볶음밥,멥쌀(백미)/친환경,밥,88728.0
가자미살튀김&양념소스,"마늘/껍질제거(깐것), 꼭지제거",반찬,
곤드레나물밥&양념간장,멥쌀(백미)/친환경,밥,
햄모듬찌개&조랭이떡사리,"마늘/껍질제거(깐것), 꼭지제거",반찬,
양송이크림스프,양파/껍질제거(깐것),반찬,
기장밥(현미),기능성기장(칼슘강화),밥,
편육(수육),"마늘/껍질제거(깐것), 꼭지제거",반찬,
설렁탕(당면사리),"마늘/껍질제거(깐것), 꼭지제거",국,
곤약젤리,젤리음료/사과맛,후식,
핫도그&케첩,핫도그/냉동,후식,
흑미밥(현미),기능성기장(칼슘강화),밥,
해물떡볶음,당근,반찬,
수제요거트(시리얼),시리얼(곡물(귀리)시리얼),후식,
망고,아이스망고,후식,
참치채소비빔밥,멥쌀(백미)/친환경,밥,
반반순살치킨,"마늘/껍질제거(깐것), 꼭지제거",반찬,
